"id","PUMA.x","STATEFIP.x","tot_persons_point","essential_point","crowd_essential_point","crowd_point","crowd_essential_point_perc","essential_point_perc","crowd_point_perc","crowd_se","essential_se","crowd_essential_se","crowd_perc_se","essential_perc_se","crowd_essential_perc_se","state_name","STATEFIP.y","puma_name","PUMA.y"
"49_57001",57001,49,142407,103797.660003882,6286.64710939389,8162,0.0441456326542508,0.728880321921547,0.0573145982992409,1161.22913328938,1627.08808402105,1008.14966602516,0.00815215065978621,0.0102968661041242,0.0070663845131633,"Utah","49","Weber County (West)--Roy, North Ogden, Ogden (Northwest) & West Haven Cities",57001
"49_57002",57002,49,102180,64502.1905065925,4522.63123904145,5742,0.0442614135744906,0.631260427741167,0.0561949500880799,879.515349496528,1626.46055635797,769.973697436722,0.00861276161255171,0.0142345324399245,0.0075338042971727,"Utah","49","Weber County (East)--Ogden (Southeast) & South Ogden Cities",57002
"4_100",100,4,148465,98761.2939992381,4273.31248994584,6380,0.0287832990263418,0.665216003766801,0.04297309130098,1278.5280012577,1831.89683906445,1089.63695121958,0.0085840110817749,0.0106004194903462,0.00732143412089413,"Arizona","04","Maricopa County--Gilbert (South) & Queen Creek Towns",100
"4_101",101,4,165609,98998.0816425902,7046.8535684409,8755,0.0425511510149865,0.597782014519683,0.0528654843637725,1289.42801272502,1971.34785697731,1115.10986525735,0.00777660161524866,0.00981107997137184,0.00669080986499742,"Arizona","04","Maricopa County--Mesa City (East)",101
"4_102",102,4,143535,89104.5740357206,12876.3604059025,16990,0.0897088543275335,0.620786386844467,0.118368342216184,1674.28357813126,1504.26292698939,1578.94806708138,0.0114498604463399,0.00859472306634423,0.0108734317345074,"Arizona","04","Maricopa County--Mesa City (North Central)",102
"4_103",103,4,114366,79206.2790057154,16593.925617239,19239,0.145094919969563,0.692568411990586,0.168223073291013,1562.60610839712,1499.65927909675,1569.12872670951,0.0131807746241932,0.0119709670300762,0.0133181848301456,"Arizona","04","Maricopa County--Mesa City (West)",103
"4_104",104,4,112108,63481.2979420049,9552.93728742055,12901,0.0852119142917593,0.5662512750384,0.115076533342848,1398.40720106842,2036.21612796538,1330.35406897822,0.0122924613950346,0.0138990820416742,0.0116908457110751,"Arizona","04","Maricopa County--Mesa City (South Central)",104
"4_105",105,4,139121,91041.7854654526,3686.44623137374,4751,0.0264981291923846,0.65440721002187,0.0341501283055757,914.008643285172,1542.6348279433,837.346786799689,0.00652805934078354,0.00985519111535043,0.00598607726767924,"Arizona","04","Maricopa County--Gilbert Town (North)",105
"4_106",106,4,115262,75567.1209709277,7369.14869853736,11123,0.0639338958072683,0.655611745162566,0.0965018826673145,1308.54738164118,1726.7824621801,1169.90296052771,0.0113636037107916,0.0137142417040546,0.0101785767449993,"Arizona","04","Maricopa County--Chandler City (Northeast)",106
"4_107",107,4,109656,65558.2897887307,1913.16107239146,2801,0.0174469347084652,0.597854105463729,0.0255435179105566,645.338709516173,1061.59213668726,495.107584807663,0.00585972987424793,0.00958162296495469,0.00449383599389532,"Arizona","04","Maricopa County--Chandler City (South)",107
