"PUMA","STATEFIP","tot_persons_point","essential_point","crowd_essential_point","crowd_point","crowd_essential_point_perc","essential_point_perc","crowd_point_perc","crowd_se","essential_se","crowd_essential_se","crowd_perc_se","essential_perc_se","crowd_essential_perc_se"
11503,53,111338,68680.6525491307,6876.51544736136,9359,0.0617625199604929,0.616866232096236,0.0840593508056549,942.435196711158,1567.62412750674,856.508445212464,0.00847232110079086,0.0125002376946707,0.007715250327186
11000,53,108525,60424.3889443926,6143.68816068897,8049,0.0566108100501172,0.556778520565701,0.0741672425708362,957.762470553112,1228.02548435338,838.016459173507,0.00882592774049659,0.0112773256287273,0.00771993014404106
11602,53,123540,70416.3212506328,3024.91266037513,5364,0.0244852894639399,0.569988030197772,0.0434191355026712,791.378164975506,1666.80926447718,559.721023548399,0.00640985457024333,0.0125522534698872,0.00454981884041524
10800,53,136236,76804.7206541015,6727.72108094556,14952,0.0493828436018788,0.563762299642543,0.109750726680173,1498.95708744447,1773.93955606614,959.526653849917,0.0109970486648873,0.0131001868604864,0.00705367113581033
11501,53,123317,76796.4671789047,7247.80167877346,9571,0.0587737431073855,0.622756531369598,0.0776129811785885,1366.67618695871,1676.12476102201,1269.0879177764,0.0109936775105176,0.0118760426071138,0.0102514361981184
11300,53,130496,67368.9637181749,3286.9614183187,7585,0.0251882158711278,0.516253093720688,0.0581243869543894,917.103974476177,1416.20483142211,523.426443114603,0.00702208651541878,0.0108987223193803,0.00402012790351726
10100,53,211429,123988.778027482,9293.71123750038,13503,0.0439566532382047,0.586432220875478,0.0638654110836262,1530.05843025683,2311.407156793,1422.38405129865,0.00723959907466012,0.0108377078635102,0.00672857051178405
11402,53,107057,65370.5389157202,2573.54937345543,5229,0.0240390574502875,0.610614335500903,0.0488431396358949,836.099515608041,1496.127145687,588.848725328545,0.00771359943160024,0.0132280600810514,0.0054699931505933
10300,53,115446,70355.7805152876,7915.90858522777,11176,0.0685680628625312,0.609425883229281,0.0968071652547511,1255.86667285982,1334.77267656048,1043.32988451971,0.0108749478828101,0.0116398465466943,0.00904031621042711
11506,53,132591,87700.1024115355,3411.21742168957,5789,0.0257273677828025,0.661433297972981,0.0436605802807129,1044.68476106431,1423.76875656617,833.272514015686,0.00791162217735661,0.00897247411410127,0.0063119362908561
11102,53,117739,74084.8284723852,6551.43732996455,7806,0.055643731728353,0.629229299317857,0.0662991871852148,1241.9860909044,1623.67805308283,1102.84365586251,0.0104188400072678,0.0117339813993619,0.00925507445160763
11505,53,115806,77937.5292018898,4099.42641827832,5242,0.0353990848339319,0.673000787540281,0.0452653575807817,786.474125448511,1207.52011312443,718.752492538207,0.00679304988256653,0.00895790239862813,0.00619904342684723
10501,53,127302,73991.0846958754,2981.85156887323,5023,0.0234234463627691,0.581224840897044,0.0394573533801511,874.584672859066,1713.99661509673,701.669292823292,0.00684831662810039,0.0120318585771406,0.00548560181549154
11705,53,134281,95080.7257659692,5983.96062072146,7712,0.0445629733225211,0.70807281570713,0.0574318034569299,1296.46577278384,1492.32615439803,1094.44288870313,0.00957942507058213,0.0100685043033789,0.00813873918975266
11200,53,128982,70137.8017023285,6357.1687168441,9019,0.0492872549413415,0.543779765411673,0.0699244855871362,1149.68180380486,1553.85240536122,978.047970204232,0.00891916847183448,0.0120031701893615,0.00758181116997115
11601,53,156815,94488.1509334181,3110.02934579306,4908,0.0198324735885793,0.602545361945083,0.0312980263367663,938.659469669379,1562.02521041173,732.55263218954,0.00599344816864873,0.00912784380231368,0.00468336263057768
10502,53,115944,64324.677472915,4146.95539438276,5226,0.0357668822395532,0.554790911758392,0.0450734837507762,686.787922141908,1408.32074286496,657.021394359903,0.00597974412918438,0.0105252532467729,0.00568936242966634
11104,53,121735,80959.602422246,8240.56119941491,9715,0.0676926208519728,0.665047869735458,0.0798044933667392,1129.02885259855,1525.35490455007,1097.53735670858,0.0091730188987526,0.0108004825862187,0.00895718119808716
11610,53,138477,93676.1571885225,11347.5489529578,14296,0.0819453696495285,0.676474484488561,0.103237360716942,2025.31005033797,1562.53889461781,1672.76806644201,0.0145879233502707,0.0113246484380325,0.0120819798258628
11615,53,124914,84342.820853137,3967.7077522591,5190,0.0317635153166106,0.675207109316306,0.0415485854267736,978.450688588853,1457.06570147108,819.662919479193,0.00778687542005462,0.0105156567228274,0.0065194399825265
10400,53,104845,54057.6654021578,6517.07464945758,9614,0.0621591363389535,0.515596026535913,0.0916972673947255,953.501442054494,1152.31069448886,821.175503631196,0.00908751433233478,0.0107568470227917,0.0078334448137893
11504,53,133207,86026.4342857933,10942.2471610175,13149,0.082144685797424,0.645810162272203,0.098711028699693,1276.23753666784,1714.5055772522,1230.76314699298,0.00963545294160566,0.0103797739783961,0.00928718619897899
11703,53,118184,80256.8167235355,5882.09030058435,7890,0.0497706144705235,0.679083604578755,0.0667603059635822,1332.73481983476,1628.60088442304,1222.36211917382,0.0111435922841396,0.0113929338899223,0.0101940551552896
11502,53,113467,63508.282413823,2732.33858866904,4438,0.0240804691114512,0.559707072662739,0.0391126935584796,792.939373470633,1529.6050218172,630.62027024604,0.00698047562161382,0.0120611092402784,0.00561299130215113
11103,53,111428,72051.0659671581,3286.57912019959,3910,0.0294950920791865,0.646615446451144,0.0350899235380694,780.525143733371,1343.79830772554,760.790585725489,0.00701808658765633,0.0105855308906377,0.00682868759981457
10600,53,99424,56904.7552446941,3704.44927983098,7834,0.0372591052445182,0.572344255357802,0.0787938525909237,885.130979008192,994.394582910287,705.08366886055,0.00891070377014641,0.00922155949779366,0.00708568866342825
11900,53,103380,48377.1354148779,2666.91447148067,4703,0.0257971993759012,0.467954492308743,0.0454923582898046,704.771381371293,1088.30722525579,554.499761085825,0.00680300789644466,0.0104146635153236,0.0053500827941986
11607,53,143701,92260.8981343582,5761.43414336623,6775,0.0400932084214183,0.642033793323346,0.0471465055914712,821.489926901115,1487.22311058156,768.697138495545,0.00571461509015306,0.0100247771484078,0.00535074986959261
11101,53,110407,68828.9507528387,9460.86495445309,10820,0.0856908072355294,0.623411112998621,0.0980010325432264,1043.77947862563,1326.04753726064,1008.73236247909,0.00942233319967875,0.0115324027721042,0.00914115062028751
11507,53,111668,75904.6394188066,5291.17659219148,5864,0.0473831052064287,0.679734923333512,0.052512805817244,1066.09164709231,1413.60839002345,1046.1283612388,0.0094025209765684,0.0113000316817807,0.00925361347219925
10504,53,105751,62448.5975531032,3886.4383312137,6089,0.0367508423675776,0.590524889155688,0.0575786517385178,1290.89439924418,1637.20877895185,1061.337934539,0.0122986271838745,0.0149523867734737,0.0100839195051944
11616,53,117318,73911.2431472301,2914.73579121662,3741,0.0248447449770421,0.630007698283555,0.0318876898685624,900.368868853205,1432.52838906239,824.242347018857,0.00768111583180731,0.0110077136556504,0.00702643336918866
10902,53,124044,69499.3605789677,10670.0413547486,24782,0.0860181980164188,0.560279905347842,0.199783947631486,1484.95592527186,1986.40335866463,1494.54371739535,0.0120293061292791,0.0157248095553506,0.0120937228528667
11706,53,143048,96031.8978384797,5479.92225011739,6599,0.0383082758942271,0.671326392808565,0.0461313684916951,810.266406807045,1474.23929784025,769.583631560547,0.00562781437849187,0.00972550847316321,0.00536095232512736
11701,53,118434,73637.4681667266,6189.77997615157,7764,0.0522635389850175,0.621759529921531,0.0655554992654137,1013.173923865,1438.71949825906,954.509159666556,0.00850472667611193,0.0113945261142796,0.00803671263387381
11704,53,133381,93578.884265074,6044.43123082154,7752,0.045317033391724,0.70159081327231,0.0581192223779999,1173.1410401141,1577.24454953235,998.868673337031,0.00883996958777819,0.0108580934463016,0.00753434751960104
11604,53,125091,73878.6304183623,5468.25383787539,7278,0.0437142067604815,0.590599087211409,0.0581816437633403,1106.0465406121,1753.66449276871,1031.11408694073,0.00875139667625007,0.0129913599782291,0.00819748200348006
11613,53,127697,91156.8644579543,14069.4913014859,17219,0.110178714468515,0.713852827066841,0.134842635300751,1701.87312981902,1850.12832969247,1613.05149264868,0.0132948954643527,0.0133769299651577,0.0126421870660354
11801,53,127890,76889.4680028705,2955.82147806584,3605,0.0231122173591824,0.601215638461729,0.0281882868089765,803.173331230563,1387.07983103269,733.076283930058,0.00623678926888785,0.0100398230942206,0.00569538495289223
11612,53,127478,85149.1689266884,14074.9304067509,16492,0.110410662284872,0.667951873473763,0.129371342506158,1431.73992051629,1420.90785372667,1374.61635165504,0.0112105924595524,0.0107990807968079,0.0107277977938929
10703,53,104897,62003.5150646586,6144.48651402136,9580,0.0585763798204082,0.591089497932816,0.0913276833465209,1170.30788684004,1299.26195766713,1015.41261705975,0.0111934812714252,0.0123805999269434,0.0097510370172484
10701,53,115979,73735.3692618696,7324.26061890153,13479,0.0631516103682695,0.63576483037334,0.116219315565749,1297.48512515558,1748.53399457591,947.231387815088,0.0111898222452359,0.0142058822667116,0.00813895593477905
11702,53,128361,91109.4558319068,9028.69929153203,10882,0.0703383371236748,0.709790791844149,0.0847765286964109,1336.6765689575,1800.49679632303,1239.26064415931,0.010406589306684,0.0115896776610678,0.00965697515180076
11614,53,116547,79537.2286397206,10660.0366790894,12945,0.0914655604956748,0.682447670379509,0.111071070040413,1567.74170385303,1524.99136249884,1604.59953125723,0.0135752085343843,0.0126021564980023,0.0138907506180679
10503,53,133093,80318.8943266676,4827.31390668894,6055,0.0362702313922516,0.603479479211285,0.0454945038431773,1148.09466073142,1574.57481244337,985.185034603352,0.0085997391383771,0.0106720845771998,0.00739097939349444
400,54,234421,147189.142421069,7758.2001614265,11296,0.0330951585456358,0.627883775007653,0.0481868092022472,1709.36469192504,2124.61600323475,1266.103561096,0.00728017091994538,0.00908180135694697,0.00539588083099795
1200,54,174956,89420.2415647996,2447.00023963355,4044,0.0139863750864992,0.511101314415051,0.0231143830448799,918.122676988212,1854.63357638977,742.163739667141,0.00524713829662634,0.0104900226125286,0.00424002849688702
700,54,97309,53445.8053875574,1628.43255596938,2398,0.0167346551292211,0.549238049795572,0.0246431470881419,602.383889226795,1235.33818626518,529.401399145868,0.00619123395480372,0.0125813365859639,0.00543972527732451
300,54,130463,74771.9616583474,3441.62495677534,7435,0.0263800844436763,0.573127719417363,0.0569893379732185,1109.2317837134,1672.09465470561,657.004112064739,0.00849876829762095,0.0127574819987393,0.0050366178877415
900,54,100075,52380.2539744123,2566,4106,0.0256407694229328,0.52340998225743,0.0410292280789408,939.762336976749,1166.81775490779,709.172545999914,0.00938515637075872,0.0116822634341165,0.00708558827660197
1000,54,191065,99921.9931363386,2505.94189861445,3843,0.0131156512109201,0.522973821141175,0.0201135739146364,797.332145344711,1946.87965650632,558.892645391934,0.00417271525061941,0.0100711628835285,0.00292430145367347
500,54,121312,66195.9836656016,2233.36908452925,4071,0.0184101250043627,0.545667235439211,0.0335580981271432,818.591167799898,1136.81295669656,483.261760878889,0.00675466691257102,0.00929702193907186,0.00398757516760892
600,54,105027,53230.0396597752,1744.21826395323,3516,0.0166073320570256,0.506822432896067,0.0334771058870576,788.922556402084,1495.25561873042,665.357183845066,0.00750803996050293,0.014245591461065,0.00632907645078067
1100,54,101997,53698.2648874032,1723.07426009927,2490,0.0168933817671037,0.52646906171165,0.02441248272008,538.015799024527,1212.15281249162,391.087281954016,0.00527714029942049,0.0118649189315602,0.00383686912296882
200,54,146726,84960.4393425137,5237.84375967356,6512,0.035698129572629,0.579041474193488,0.0443820454452517,936.703581716223,1300.63615326812,879.208803905307,0.00638271012129074,0.00898449792200965,0.00598788294094181
800,54,158060,82893.9946664124,1907.42820373408,2400,0.0120677477143748,0.524446379010581,0.0151841073010249,782.955139200197,1790.8867266654,725.977088847271,0.0049529408772205,0.01117172850368,0.00459266319126113
1300,54,97160,40241.8181226324,1293,3112,0.0133079456566488,0.414180919335451,0.0320296418279127,762.884329371105,1283.01732201091,420.845102145671,0.00786296498160214,0.0130631925769354,0.00433270178194155
100,54,122464,69000.9807188063,2074.16842808623,2964,0.016936964561718,0.563438894032584,0.0242030310948524,668.031062152053,1153.58046300315,562.066144078283,0.00545064246566386,0.00953648656218007,0.00458609920249172
1401,55,148509,97996.0890776187,2974.59418677781,4264,0.0200297233620711,0.659866331856108,0.0287120645886781,901.524209325518,1524.61973952689,765.252930131367,0.00607002230877118,0.0103856153604472,0.00515177087919247
700,55,197733,127738.030521178,5965.31549339348,9664,0.0301685378434226,0.646012706635604,0.0488739866385479,913.36200380791,1504.18648722714,703.629713949354,0.00460317751825411,0.00749282679319628,0.00355040038515007
41004,55,97739,66717.6379323241,8861.62961766108,11996,0.0906662603225025,0.682610195851442,0.122735039237152,1812.17696431668,1949.18404469392,1422.15302920658,0.0185231455744853,0.0191198089713297,0.0145013722474276
55102,55,127941,89476.271125967,2748.79671269989,3326,0.0214848775036922,0.69935572745224,0.0259963576961256,602.43319131668,1297.38083384013,580.598235942895,0.004715308385246,0.00990606962567406,0.0045452054888408
800,55,141561,96858.001654607,3286.08153898324,4397,0.0232131839912352,0.684213884153171,0.0310608147724303,619.857765943123,1056.52740939049,499.72662277802,0.00436930572855113,0.00750505478095766,0.00352106558067519
70101,55,116189,75383.5581976563,917.766909791367,1000,0.00789891392293046,0.648801161879837,0.00860666672404444,455.216377121913,1414.83997365761,438.523222021474,0.00391843396047921,0.0121801284901381,0.00377516262609139
41005,55,118492,76883.1134797074,5510.88091054349,7453,0.0465084639515198,0.64884644937808,0.0628987610977956,1186.65829116894,1801.99482929379,1079.57038763507,0.010096337384978,0.0135000201485077,0.00912194079305513
50000,55,100088,66106.2878631607,3696.21653641808,4728,0.0369296672569946,0.660481654775405,0.0472384301814403,1030.60103822963,1466.18844111378,837.213798307188,0.0103044761772057,0.0143501728213866,0.00836994296601324
600,55,110889,62629.4450571816,2087.6158498466,2983,0.0188261761747928,0.564794028778162,0.0269007746485224,604.620542158468,914.365370268692,542.938733354352,0.00544697751722246,0.00830316623304064,0.00489444208764091
1301,55,98499,65025.7733597885,2035.47564936778,3308,0.0206649372010658,0.66016683783377,0.0335840973004802,556.922885146588,1004.93773893227,439.465009883784,0.00565636845235718,0.0102094170095896,0.00446840822144373
